Sender,Receiver,Amount
1045,1018,69936
1045,1018,42760
1045,1018,33760
1045,1018,68041
1045,1018,98742
1045,1018,54772
1045,1018,33862
1045,1018,105225
1045,1018,72695
1045,1018,110919
1045,1018,99747
1045,1018,21226
1045,1018,75911
1045,1018,34936
1045,1018,84331
1045,1018,63280
1045,1018,98044
1045,1018,92666
1045,1018,49876
1045,1018,70906
1045,1018,35743
1045,1018,64887
1045,1018,71847
1045,1018,73993
1045,1018,60343
1045,1018,88697
1045,1018,37405
1045,1018,36574
1045,1018,67980
1045,1018,44179
1045,1018,33985
1045,1018,75058
1045,1018,98414
1045,1018,47202
1045,1018,29197
1045,1018,38261
1045,1018,96824
1045,1018,66482
1045,1018,30816
1045,1018,93139
1045,1018,86050
1045,1018,38276
1045,1018,119520
1045,1018,110022
1045,1018,72141
1045,1018,64940
1045,1018,55720
1045,1018,59697
1045,1018,32735
1045,1018,82784
1045,1018,58174
1045,1018,71113
1256,1074,122297
1256,1074,61384
1256,1074,121286
1256,1074,59866
1668,1074,81715
1668,1074,33989
1668,1074,77914
1668,1074,92964
1668,1074,62201
1668,1074,82915
1668,1074,38373
1163,1074,37535
1163,1074,36543
1163,1074,35116
1163,1074,38402
1163,1074,36530
1163,1074,66906
1163,1074,39362
1163,1074,30230
1163,1074,42829
1163,1074,35416
1163,1074,32382
1163,1074,29041
1163,1074,32785
1163,1074,33502
1163,1074,34874
1163,1074,34466
1163,1074,21040
1163,1074,30496
1163,1074,31342
1163,1074,21255
1163,1074,41427
1163,1074,36951
1163,1074,34176
1163,1074,31529
1163,1074,36623
1163,1074,34439
1163,1074,33634
1163,1074,33350
1163,1074,23256
1163,1074,29794
1163,1074,37000
1163,1074,33323
1163,1074,39511
1007,1074,41020
1034,1074,87683
1832,1074,34953
1832,1074,39114
1256,1074,95001
1256,1074,52641
1256,1074,106102
1256,1074,106840
1256,1074,102980
1668,1074,75858
1668,1074,87319
1668,1074,95136
1099,1074,110650
1099,1074,53669
1099,1074,122665
1488,1074,100781
1801,1074,125705
1099,1074,115857
1801,1074,105553
1801,1074,114902
1163,1074,36852
1163,1074,33358
1163,1074,33345
1163,1074,33928
1163,1074,35809
1163,1074,30386
1163,1074,34767
1163,1074,33507
1163,1074,41127
1163,1074,34758
1163,1074,34124
1163,1074,38298
1163,1074,20386
1163,1074,33906
1163,1074,32171
1163,1074,8297
1163,1074,36260
1163,1074,39364
1163,1074,26532
1163,1074,32516
1163,1074,34534
1163,1074,34130
1163,1074,36938
1163,1074,32157
1163,1074,29457
1163,1074,35192
1163,1074,25247
1163,1074,30139
1163,1074,34584
1163,1074,38454
1163,1074,31955
1163,1074,35072
1007,1074,47402
1256,1074,85554
1256,1074,109034
1076,1074,16450
1256,1074,114980
1944,1074,33266
1256,1074,116014
1256,1074,122474
1668,1074,33989
1659,1048,168905
1659,1048,173134
1659,1048,183922
1659,1048,125763
1659,1048,125143
1659,1048,171928
1659,1048,163028
1210,1048,184946
1210,1048,156536
1210,1048,156153
1210,1048,180682
1210,1048,137013
1210,1048,190551
1210,1048,203608
1210,1048,157588
1210,1048,140650
1210,1048,182646
1210,1048,156727
1210,1048,188259
1210,1048,160944
1210,1048,156105
1210,1048,152464
1210,1048,197881
1210,1048,197156
1210,1048,197395
1659,1048,171665
1659,1048,125094
1659,1048,179957
1659,1048,111093
1659,1048,172644
1659,1048,172766
1659,1048,162734
1659,1048,172277
1659,1048,163346
1659,1048,178817
1210,1048,160698
1210,1048,150363
1210,1048,209283
1210,1048,148066
1210,1048,191660
1210,1048,194049
1210,1048,194527
1210,1048,164335
1210,1048,201541
1210,1048,172157
1210,1048,173400
1210,1048,158880
1210,1048,212397
1210,1048,187772
1210,1048,191418
1210,1048,155339
1210,1048,156536
1210,1048,189025
1210,1048,150459
1659,1048,164990
1659,1048,179957
1659,1048,172864
1659,1048,125243
1659,1048,162979
1210,1048,219931
1210,1048,150411
1210,1048,161943
1210,1048,175077
1210,1048,159837
1210,1048,164154
1210,1048,166070
1210,1048,178478
1210,1048,164144
1210,1048,156249
1210,1048,173927
1210,1048,170221
1210,1048,190024
1210,1048,153761
1210,1048,165735
1210,1048,216272
1210,1048,164814
1210,1048,179253
1210,1048,198308
1210,1048,192851
1210,1048,175077
1210,1048,160746
1210,1048,209283
1659,1048,189161
1659,1048,162930
1659,1048,172326
1659,1048,171298
1659,1048,162958
1659,1048,109635
1659,1048,171592
1659,1048,172326
1659,1048,172277
1210,1048,153713
1210,1048,229077
1210,1048,171100
1210,1048,160944
1210,1048,185425
1210,1048,182039
1210,1048,202336
1210,1048,150260
1210,1048,151368
1205,1057,216498
1205,1057,213248
1205,1057,211732
1205,1057,206316
1205,1057,228630
1220,1032,125598
1220,1032,52792
1220,1032,38446
1837,1061,48479
1222,1061,53294
1222,1061,59388
1222,1061,46157
1017,1075,77210
1017,1075,156436
1017,1075,173286
1023,1075,118562
1017,1075,58981
1017,1075,85122
2085,1075,93492
2085,1075,80239
2085,1075,81386
1503,1075,81417
1503,1075,140595
1503,1075,18607
1503,1075,33465
1503,1075,87861
2088,1075,22260
1503,1075,40065
1503,1075,147913
1503,1075,107191
1017,1075,169083
1017,1075,273440
1017,1075,170274
1017,1075,280467
1017,1075,132900
1017,1075,202011
1350,1075,128228
1350,1075,106031
1350,1075,92902
1350,1075,106814
1350,1075,73781
1350,1075,144026
1350,1075,128165
1350,1075,46095
1350,1075,43675
1327,1075,65290
1327,1075,27953
1327,1075,57352
1327,1075,58322
1327,1075,148793
1327,1075,49300
1327,1075,44337
1327,1075,47184
1327,1075,72451
1327,1075,96496
1327,1075,77455
1327,1075,68911
1327,1075,143559
1327,1075,61282
1327,1075,45268
1327,1075,96712
1503,1075,161060
1276,1075,52861
1503,1075,139865
1503,1075,109339
1503,1075,153941
2088,1075,14580
1503,1075,69660
1503,1075,199588
1503,1075,136018
1503,1075,87478
1503,1075,11653
1666,1075,28270
1056,1075,57560
1056,1075,44679
1056,1075,77240
1056,1075,69255
1056,1075,91006
1056,1075,66091
1056,1075,57258
1056,1075,77504
1056,1075,66787
1056,1075,72657
1056,1075,45787
1056,1075,55783
1056,1075,73735
1056,1075,82043
1748,1075,82859
1056,1075,56457
1056,1075,77252
1056,1075,21807
1056,1075,89563
1056,1075,72067
1503,1075,50308
1503,1075,165133
1503,1075,186403
1503,1075,82750
1503,1075,177900
1503,1075,43750
1503,1075,163283
1658,1075,10366
1056,1075,45327
1748,1075,49057
1056,1075,86538
1056,1075,102359
1748,1075,83869
1748,1075,82853
1748,1075,82044
1748,1075,38250
1056,1075,80276
1327,1003,40174
1327,1003,27882
1327,1003,62459
1327,1003,90125
2085,1003,80203
2085,1003,58522
1228,1003,36419
1228,1003,22919
1228,1003,113438
1228,1003,31985
1228,1003,47162
1228,1003,27757
1034,1003,98834
1748,1003,72191
1309,1003,60548
1074,1003,40287
1309,1003,36503
1138,1003,95729
1074,1003,26917
1074,1003,37541
1074,1003,71942
1074,1003,73720
1074,1003,91673
1089,1003,47452
1002,1003,24735
1228,1003,47987
1228,1003,212095
1228,1003,86762
1228,1003,56824
1228,1003,29838
1228,1003,36690
1228,1003,28126
1228,1003,53127
1228,1003,18401
1228,1003,117128
1228,1003,68642
1623,1003,87816
1002,1003,48440
1327,1003,24279
1076,1003,5345
1076,1003,2082
2085,1003,51510
2085,1003,96457
2085,1003,95569
1228,1003,54594
1228,1003,49772
1228,1003,69196
1228,1003,45559
1228,1003,77225
1228,1003,47929
1228,1003,54865
1228,1003,27447
1228,1003,28271
1228,1003,52511
1228,1003,110678
1623,1003,31621
1264,1003,57782
1623,1003,57557
1264,1003,38298
1264,1003,31076
1623,1003,19956
1623,1003,69420
1875,1003,55026
1228,1003,60930
1228,1003,78090
1228,1003,15550
1228,1003,26444
1228,1003,76662
1228,1003,27599
1228,1003,49252
1228,1003,46637
1228,1003,50654
1228,1003,48619
1228,1003,38408
1228,1003,47194
1228,1003,46278
1228,1003,26593
1228,1003,79139
1228,1003,52033
1228,1003,50623
1228,1003,60404
1228,1003,48918
1327,1003,22966
1004,1003,93774
2085,1003,62624
1138,1003,47783
1138,1003,25871
1074,1003,17423
1309,1003,64885
1309,1003,49658
1595,1003,45273
1309,1003,58864
1074,1003,26102
1309,1003,77002
1595,1003,52378
1309,1003,58965
1074,1003,23699
1309,1003,112338
1228,1003,32405
1228,1003,23536
1228,1003,58957
1228,1003,49562
1228,1003,46332
1076,1003,5536
1228,1003,32573
1039,1004,72374
1039,1004,75867
1039,1004,71600
1039,1004,82650
1039,1004,72858
1944,1004,65817
1259,1004,82274
1944,1004,30566
1259,1004,81431
1259,1004,115517
1090,1004,51717
1090,1004,46325
1138,1004,108592
1138,1004,5170
1051,1004,146717
1051,1004,158480
1138,1004,114134
1051,1004,146845
1051,1004,155104
1051,1004,165235
1051,1004,183637
1051,1004,157551
1138,1004,109034
1051,1004,132493
1051,1004,167488
1051,1004,182832
1051,1004,184486
1138,1004,124490
1051,1004,183458
1138,1004,137094
1051,1004,184651
1051,1004,183344
1051,1004,182876
1051,1004,163512
1051,1004,169128
1138,1004,113775
1101,1004,64428
1488,1004,67609
1079,1004,124070
1104,1004,59434
1039,1004,78498
1039,1004,85380
1039,1004,86987
1039,1004,121306
1039,1004,68287
1039,1004,72672
1039,1004,82803
1090,1004,69838
1090,1004,39378
1090,1004,42980
1839,1004,7250
1101,1004,118174
1747,1004,3397
1090,1004,27581
1090,1004,43981
1090,1004,57290
1090,1004,61565
1090,1004,2742
1135,1004,1527
1090,1004,57312
1090,1004,38573
1259,1004,122589
1259,1004,85740
1259,1004,122874
1259,1004,85954
1259,1004,122224
1259,1004,99404
1259,1004,81879
1656,1004,3815
1500,1004,120045
1148,1004,75708
1500,1004,129273
1500,1004,54171
1500,1004,95511
1656,1004,4374
1656,1004,2040
1500,1004,117261
1500,1004,143087
1656,1004,15400
1138,1004,141778
1138,1004,120168
1138,1004,119090
1138,1004,131332
1138,1004,111576
1138,1004,132395
1051,1004,155238
1051,1004,176602
1138,1004,125724
1138,1004,32836
1138,1004,147670
1138,1004,107358
1051,1004,157869
1138,1004,128194
1138,1004,119916
1051,1004,67251
1051,1004,149906
1051,1004,168712
1138,1004,123786
1051,1004,183234
1309,1004,82843
1051,1004,148823
1668,1004,85007
1668,1004,73422
1668,1004,69892
1668,1004,77406
1136,1004,159067
1668,1004,73513
1136,1004,20463
1668,1004,102361
1668,1004,89352
1668,1004,84752
1079,1004,124317
1172,1004,119028
1259,1004,121703
1259,1004,101631
1132,1004,12935
1259,1004,84615
1259,1004,81635
1259,1004,81920
1090,1004,49069
1090,1004,35741
1090,1004,51054
1488,1004,121007
1809,1004,60091
1488,1004,90055
1488,1004,112271
1774,1004,37938
1809,1004,113269
1488,1004,93038
1039,1004,75723
1039,1004,66950
1039,1004,99123
1039,1004,74130
1101,1004,93473
1101,1004,93127
1090,1004,57052
1037,1004,21829
1135,1004,8200
1037,1004,4804
1037,1004,105801
1668,1004,106650
1668,1004,94941
1668,1004,77015
1668,1004,101065
1668,1004,76064
1668,1004,95029
1136,1004,27148
1668,1004,78996
1668,1004,109679
1930,1004,32542
2184,1004,121402
2184,1004,121107
2184,1004,102877
1243,1004,11936
1051,1004,176256
1309,1004,81164
1051,1004,185554
1138,1004,31764
1051,1004,181069
1051,1004,182600
1051,1004,175586
1138,1004,122089
1051,1004,183189
1138,1004,141240
1051,1004,183279
1051,1004,167159
1138,1004,138947
1051,1004,147229
1138,1004,23307
1051,1004,158264
1138,1004,114766
1051,1004,174269
1051,1004,165803
1051,1004,184442
1138,1004,134507
1051,1004,173756
1051,1004,193181
1051,1004,184039
1138,1004,141109
1051,1004,176755
1051,1004,176972
1051,1004,175867
1138,1004,117367
1039,1004,70802
1039,1004,76000
1039,1004,81567
1039,1004,73847
1039,1004,121951
1039,1004,82673
1039,1004,121871
1259,1004,82001
1293,1004,2753
1944,1004,66871
1259,1004,112949
1090,1004,57395
1090,1004,36263
1990,1004,102669
1990,1004,109895
1990,1004,111370
1990,1004,110570
1990,1004,109947
1990,1004,120187
1990,1004,103834
1990,1004,109428
1690,1004,127277
1990,1004,110311
1990,1004,109272
1990,1004,120282
1990,1004,128213
1990,1004,114759
1990,1004,114325
1990,1004,105112
1990,1004,108961
1990,1004,62759
1990,1004,135217
1990,1004,115139
1990,1004,124896
1990,1004,79131
1990,1004,120282
1990,1004,111191
1990,1004,111713
1990,1004,114215
1990,1004,108728
1990,1004,115411
1259,1004,81757
1293,1004,1684
1132,1004,12098
1259,1004,121301
1259,1004,81431
1449,1004,20041
1449,1004,33068
1449,1004,35559
1310,1004,87094
1449,1004,42496
1310,1004,87094
1449,1004,24926
1310,1004,84114
1310,1004,84906
1449,1004,37953
1449,1004,33571
1449,1004,36455
1449,1004,36178
1449,1004,42040
1310,1004,81840
1449,1004,38296
1449,1004,42670
1310,1004,74853
1679,1004,154252
1449,1004,42727
1449,1004,44892
1449,1004,25252
1079,1004,124070
1079,1004,124483
1500,1004,74954
1656,1004,5067
1500,1004,119937
1147,1004,117099
1656,1004,15457
1656,1004,16385
1656,1004,2315
1656,1004,29841
1500,1004,122188
1656,1004,2422
1500,1004,121288
1090,1004,39980
1090,1004,61565
1090,1004,58635
1037,1004,28338
1090,1004,39956
1259,1004,168018
1259,1004,85997
1259,1004,115026
1259,1004,57216
1259,1004,113629
1259,1004,84735
1259,1004,81798
1039,1004,124494
1039,1004,78756
1039,1004,67245
1039,1004,79652
1039,1004,94857
1051,1004,183279
1051,1004,183884
1051,1004,135739
1138,1004,129737
1051,1004,158047
1051,1004,50148
1051,1004,183125
1051,1004,161291
1309,1004,163138
1051,1004,183458
1138,1004,130149
1051,1004,139462
1051,1004,183726
1138,1004,129737
1051,1004,146717
1051,1004,155685
1051,1004,146732
1051,1004,130371
1051,1004,174568
1138,1004,84613
1051,1004,183324
1138,1004,141584
1668,1004,104304
1668,1004,72096
1668,1004,108016
1668,1004,102119
1668,1004,102892
1668,1004,69286
1136,1004,173572
1668,1004,92541
1136,1004,68911
1668,1004,76383
1136,1004,175293
1668,1004,87304
1488,1004,67802
1774,1004,73057
1159,1004,2763
1335,1004,3863
1039,1004,73006
1051,1004,164753
1138,1004,134882
1138,1004,119756
1138,1004,116926
1051,1004,100681
1051,1004,165658
1051,1004,144684
1138,1004,136342
1138,1004,131332
1138,1004,136578
1138,1004,125202
1051,1004,164496
1138,1004,119586
1051,1004,133151
1138,1004,120577
1051,1004,152395
1051,1004,150450
1309,1004,82801
1138,1004,130200
1051,1004,173756
1138,1004,129995
1138,1004,138021
1051,1004,184397
1051,1004,195011
1051,1004,187799
1138,1004,127114
1051,1004,114634
1138,1004,132670
1138,1004,77945
1051,1004,183994
1138,1004,129545
1138,1004,148362
1138,1004,143658
1228,1004,126090
1135,1004,1595
1090,1004,32360
1034,1004,60760
1090,1004,53600
1034,1004,80101
1944,1004,36826
1132,1004,12274
1259,1004,83348
1259,1004,113629
1259,1004,85030
1259,1004,85440
1259,1004,114800
1259,1004,85872
1862,1004,42470
1656,1004,2461
1148,1004,78854
1656,1004,3511
1656,1004,12058
1500,1004,77211
1500,1004,34739
1656,1004,8235
1656,1004,7692
1500,1004,120594
1049,1004,1607
1656,1004,6919
1500,1004,79793
1500,1004,69735
1034,1004,67857
1090,1004,58501
1037,1004,59819
1039,1004,83738
1039,1004,71283
1039,1004,121245
1039,1004,84254
1039,1004,79354
1039,1004,121326
1136,1004,98722
1668,1004,106542
1668,1004,38250
1668,1004,86993
1136,1004,85564
1668,1004,75733
1668,1004,71249
1668,1004,96833
1668,1004,100116
1668,1004,88190
1668,1004,86895
1668,1004,113979
1668,1004,97131
1668,1004,107275
1668,1004,90841
1668,1004,100671
1668,1004,100846
1668,1004,104942
2184,1004,120692
1037,1004,68051
1034,1004,73878
1090,1004,35591
1090,1004,36809
1037,1004,6922
1090,1004,59240
1090,1004,59734
1037,1004,43519
1051,1004,161531
1138,1004,150780
1051,1004,183950
1051,1004,84386
1138,1004,120303
1138,1004,122559
1051,1004,170083
1051,1004,145393
1051,1004,166809
1051,1004,129679
1051,1004,147400
1051,1004,136634
1138,1004,138547
1051,1004,183257
1138,1004,121700
1138,1004,102112
1138,1004,108399
1138,1004,99667
1138,1004,136637
1051,1004,158004
1051,1004,134016
1051,1004,166232
1051,1004,183410
1138,1004,142264
1138,1004,100422
1138,1004,128708
1839,1004,55508
1259,1004,85397
1259,1004,83637
1259,1004,120980
1990,1004,103781
1990,1004,109117
1990,1004,114323
1990,1004,117365
1990,1004,110207
1990,1004,109376
1990,1004,126135
1990,1004,125325
1990,1004,120520
1990,1004,102866
1990,1004,130560
1990,1004,107917
1990,1004,102388
1690,1004,131967
1990,1004,115845
1990,1004,109844
1990,1004,109740
1990,1004,21568
1990,1004,115465
1090,1004,36325
1090,1004,36809
1147,1004,115859
1500,1004,84721
1656,1004,7538
1500,1004,76029
1148,1004,75306
1656,1004,11560
1656,1004,1524
1500,1004,123481
1500,1004,115535
1500,1004,122546
1148,1004,74940
1656,1004,9061
1500,1004,121945
1500,1004,143688
1656,1004,2854
1132,1004,13558
1862,1004,48637
1259,1004,201948
1259,1004,81065
1809,1004,59318
1488,1004,114406
1488,1004,110688
1774,1004,34073
1668,1004,69551
1668,1004,81839
1668,1004,75320
1668,1004,119410
1668,1004,81601
1136,1004,173171
1668,1004,106695
1668,1004,89575
1668,1004,86095
1668,1004,105104
1668,1004,100074
1668,1004,128606
1668,1004,97947
1668,1004,100262
1039,1004,37228
1039,1004,82632
1039,1004,122428
1039,1004,74422
1037,1004,6229
1051,1004,176861
1138,1004,114090
1051,1004,168185
1051,1004,156878
1051,1004,154705
1051,1004,144907
1138,1004,114483
1138,1004,132155
1138,1004,142342
1138,1004,99526
1138,1004,121662
1051,1004,166853
1051,1004,173970
1138,1004,128503
1051,1004,127827
1138,1004,108966
1138,1004,128412
1051,1004,176192
1051,1004,176256
1309,1004,82843
1051,1004,129030
1051,1004,155815
1051,1004,154455
1138,1004,100721
1051,1004,159548
1138,1004,104321
1051,1004,175803
1039,1004,65591
1039,1004,86376
1039,1004,75106
1039,1004,70420
1335,1004,3922
1259,1004,85244
1259,1004,113667
1944,1004,30894
1259,1004,81309
1259,1004,121141
1259,1004,119857
1259,1004,114082
1259,1004,84448
1259,1004,120539
1259,1004,81920
1259,1004,81147
1034,1004,76292
1090,1004,27776
1090,1004,46325
1809,1004,114073
1449,1004,50990
1449,1004,50920
1679,1004,144114
1449,1004,49915
1310,1004,83029
1449,1004,60849
1449,1004,35217
1449,1004,33351
1449,1004,37882
1449,1004,39529
1449,1004,46396
1449,1004,42008
1449,1004,41845
1449,1004,59167
1449,1004,29587
1449,1004,44387
1449,1004,31086
1449,1004,25089
1449,1004,36129
1449,1004,22744
1449,1004,28834
1449,1004,42555
1679,1004,107429
1449,1004,36374
1449,1004,46148
1449,1004,23298
1449,1004,29587
1449,1004,34696
1449,1004,31440
1449,1004,34307
1259,1004,81961
1259,1004,80787
1259,1004,83508
1259,1004,112723
1259,1004,81798
1259,1004,111816
1259,1004,81431
1159,1004,7632
1037,1004,39621
1090,1004,48421
1090,1004,59510
1090,1004,55390
1090,1004,36574
1090,1004,46756
1039,1004,64118
1039,1004,77637
1039,1004,71481
1138,1004,128863
1138,1004,116824
1138,1004,118663
1051,1004,175184
1138,1004,149411
1051,1004,147059
1051,1004,147229
1051,1004,146888
1051,1004,146674
1051,1004,166968
1051,1004,184129
1051,1004,165803
1138,1004,128198
1138,1004,117801
1051,1004,166478
1138,1004,129089
1138,1004,132237
1138,1004,114441
1051,1004,165847
1051,1004,188597
1051,1004,162821
1051,1004,165901
1051,1004,184730
1138,1004,129498
1668,1004,85505
1668,1004,93320
1668,1004,82713
1668,1004,73145
1668,1004,92038
1668,1004,79556
1668,1004,102933
1668,1004,84588
1668,1004,125329
1668,1004,68072
1668,1004,78407
1668,1004,108790
1668,1004,85428
1500,1004,41322
1500,1004,11205
1500,1004,132036
1147,1004,115936
1656,1004,22174
1656,1004,7423
1148,1004,71904
1656,1004,3760
1500,1004,11307
1147,1004,116750
1839,1004,58527
1839,1004,104264
1039,1004,80726
1039,1004,73220
1039,1004,75588
1039,1004,87945
1039,1004,93736
1039,1004,75911
1039,1004,122327
1039,1004,73344
1039,1004,79162
1488,1004,108691
1990,1004,102343
1990,1004,104013
1990,1004,112873
1990,1004,148438
1990,1004,100245
1990,1004,124170
1990,1004,109740
1990,1004,113270
1990,1004,110876
1990,1004,114430
1990,1004,115397
1990,1004,116334
1990,1004,113022
1990,1004,118559
1990,1004,123706
1990,1004,119957
1990,1004,110467
1990,1004,110223
1132,1004,14407
1944,1004,80864
1259,1004,113402
1259,1004,81635
1090,1004,27581
2184,1004,125243
2184,1004,121208
2184,1004,120821
1839,1004,7250
1839,1004,98595
1839,1004,57279
1668,1004,73631
1668,1004,110999
1668,1004,102373
1668,1004,110438
1668,1004,96587
1668,1004,103114
1668,1004,110817
1051,1004,191372
1051,1004,173887
1051,1004,150843
1051,1004,159931
1138,1004,125776
1051,1004,159693
1138,1004,130119
1138,1004,119064
1051,1004,171964
1051,1004,166275
1051,1004,183519
1051,1004,173799
1051,1004,167028
1138,1004,126136
1138,1004,138326
1138,1004,105048
1051,1004,149968
1138,1004,34245
1051,1004,151629
1051,1004,7429
1051,1004,146845
1138,1004,123078
1138,1004,127798
1051,1004,154478
1138,1004,128657
1138,1004,133415
1051,1004,184696
1051,1004,167859
1138,1004,131642
1051,1004,157008
1051,1004,146888
1138,1004,149442
1138,1004,110997
1051,1004,177665
1051,1004,173500
1039,1004,85742
1039,1004,82637
1039,1004,72743
1039,1004,82234
1259,1004,167432
1259,1004,114195
1293,1004,4448
1259,1004,120900
1259,1004,83996
1037,1004,40087
1862,1004,42394
1259,1004,121622
1259,1004,113780
1090,1004,57604
1090,1004,28785
1090,1004,73353
1090,1004,49623
1090,1004,37505
1105,1004,11887
1105,1004,26667
1039,1004,118945
1039,1004,86181
1039,1004,75173
1039,1004,73771
1656,1004,7467
1500,1004,108399
1656,1004,5597
1656,1004,14899
1656,1004,6425
1500,1004,132516
1656,1004,2549
1656,1004,21141
1500,1004,133117
1656,1004,4811
1656,1004,9669
1500,1004,56638
1500,1004,119018
1500,1004,64883
1500,1004,139784
1500,1004,66139
1656,1004,4005
1656,1004,4429
1500,1004,6213
1500,1004,16235
1500,1004,100846
1500,1004,142186
1656,1004,10341
1147,1004,117138
1839,1004,100429
1839,1004,104653
1839,1004,53766
1809,1004,107751
1809,1004,53858
1668,1004,77108
1668,1004,108145
1668,1004,93848
1668,1004,76757
1668,1004,79973
1668,1004,109701
1668,1004,70416
1136,1004,184051
1668,1004,79183
1668,1004,91383
1668,1004,110590
1132,1004,13435
1259,1004,82694
1259,1004,123037
1259,1004,120619
1259,1004,81350
1990,1004,114814
1990,1004,113582
1990,1004,110415
1990,1004,110259
1990,1004,113945
1990,1004,130404
1990,1004,117273
1990,1004,116258
1990,1004,115465
1690,1004,128450
1990,1004,115736
1990,1004,101385
1990,1004,130099
1990,1004,115302
